q[nm-1]	I(q)[sr-1]_Luiz_eiger2_00364_av_sub_merged_rebin_ave.h5_00001_[POPS_4mM||sah=-0.500001|elev=-7.80781e-06]_trm=0.437477	error
4.23631763e+00	4.08334000e-05	3.33448946e-06
4.33796120e+00	4.59344455e-05	3.29007062e-06
4.43960524e+00	4.52745761e-05	3.24881535e-06
4.54124880e+00	4.12601649e-05	3.19797401e-06
4.64289236e+00	5.03813738e-05	3.16605900e-06
4.75051498e+00	4.33684082e-05	2.96296946e-06
4.86411667e+00	4.75662711e-05	2.91925712e-06
4.97771883e+00	5.01661807e-05	2.89370339e-06
5.09132051e+00	4.59165312e-05	2.86415879e-06
5.21090126e+00	3.70057921e-05	2.69048081e-06
5.33646107e+00	4.03604825e-05	2.66903106e-06
5.46202087e+00	4.60631924e-05	2.63865016e-06
5.58758068e+00	3.95098967e-05	2.63782764e-06
5.71911955e+00	3.65523459e-05	2.56649920e-06
5.85663748e+00	4.11549219e-05	2.57837327e-06
5.99415541e+00	3.95060962e-05	2.58965332e-06
6.13167334e+00	3.70822685e-05	2.67036891e-06
6.27517033e+00	4.25916538e-05	2.61849930e-06
6.42464638e+00	3.76334228e-05	2.67234211e-06
6.57412243e+00	4.52712923e-05	2.71813728e-06
6.72359848e+00	3.66749056e-05	2.75009997e-06
6.87905359e+00	4.02342390e-05	2.67464039e-06
7.04048777e+00	4.16329993e-05	2.73268215e-06
7.20192146e+00	4.57071044e-05	2.99773142e-06
7.36933470e+00	4.30434493e-05	3.18587629e-06
7.54272699e+00	5.10613017e-05	3.46695487e-06
7.71611929e+00	4.66872488e-05	3.74793057e-06
7.89549017e+00	4.30510169e-05	3.97133807e-06
8.08084011e+00	4.26236600e-05	4.36458853e-06
8.26619053e+00	4.43378193e-05	4.82738593e-06
8.45752048e+00	3.92260792e-05	5.21759525e-06
8.65482807e+00	4.19605269e-05	5.95230226e-06
8.85213661e+00	4.69277077e-05	7.00735914e-06
9.05542374e+00	5.88038537e-05	8.40793296e-06
9.26469040e+00	5.82071287e-05	1.05915531e-05
9.47993565e+00	7.32157606e-05	1.27208509e-05
9.70116043e+00	9.05918234e-05	1.74378252e-05
